"date","time","time_zone","format","text","notes","favorite","date_utc","time_utc","metadata"
"2022-04-17","10:20:37","Horário Padrão de Brasília","QR Code","35220412305443000170590007472970114565612415|20220409153637|41.69||nGN0l2duQwNat/walR75U3DlLo+1TBq4AyM8/IdNPXoVEiA7DNrWNhoZeXVxWj6Zc57agG8zMZq7/jzzPiugRAz8uqjbV46FpuiB7DOyrOaBB4A03WLwcap/8FeF3cDeegPM27jcicaU2ikuqrzEZYu6S/ACRDih9hhj7UlVZT1IrgbaB/nR4vVNOcgIijnpfVzO83e9x7QZ+hyxoeDPTXu7XPNAIxI+iGkomau/hdb80FzAZK7qQTz7fl1hYUMQbB2o6LyLQ7ohOs+US1Q7f0Vc3wSdxliqc7do4Ny7wwe4SAyuZKtQjm9fH1UEC3qSnKBu1k+3e9OfHGl0USrvlA==","","0","2022-04-17","13:20:37","{""ec"":""L""}"
"2022-04-17","10:20:42","Horário Padrão de Brasília","QR Code","35220412305443000170590010464820002603788034|20220412143403|18.98||zqys6ZsJgW25U9TBzR/LxZdNgXc+vkzTvukqnU49VRkDaHQqI49nT2CyfWvuDGYQG1GmrS//Tfpr2cTfwFtZ4H1b93dv77wW9mdJ2O++iDDV76DOJg7c6NbWQNsHfJa12a8yzs+NaFBlluMi2k1pm9/ifpJYrU5P8morlmI+VdEI79r6/JY7bgz0bbwAwcVZFgFxHPGsGATRlNA5VeA0At5TFUwdVwMuYZKOpLdw4FoSQ3lBkXDz4J9w+0wKWYnJ70FLMWcS7SWWjiUHrJw3RlvBEBb0DhXm6ryo3BvKCpbOqfPv6K7C/bCXVbFlyVWmdxFarwonwtwit55JHVtDbQ==","","0","2022-04-17","13:20:42","{""ec"":""L""}"
"2022-04-17","10:20:53","Horário Padrão de Brasília","QR Code","35220412305443000170590010464820002616392266|20220412143428|2.00||Op4Dpgyki222RxXn8lLlyTDFMCe6zxdj7Ynt5jHg90J5ooE6YI+9Q+e/yEzwU7iAzQlpvnLuNrB+KoN1ckWaBUhWB/2ENIrltWXrb4TxVzf8devtNvBvS3mn90abX33DiKurNU8Qu6EC3NiSFY4fKmFutaKbJekUdUKT8aB1ycThsueBgr1WZAp2Od7Yb+9GRaoRKqf8BdxUOPm48jkOPoGi/IpAcr2GJxtxtYAHyHMvN9xKXEZse3Z8VglE5z7vq32qZ76MUaVzB9kl7O/51RRjnhEFf8OA2Lhbt2JBpCu7O5xFvpPhefkkBnARAoyh45Fa4CueFN4rWPuNSMZqrw==","","0","2022-04-17","13:20:53","{""ec"":""L""}"
"2022-04-17","10:20:58","Horário Padrão de Brasília","QR Code","35220412305443000170590010464820003993480739|20220412184443|5.19||vM0vjW7G5gsWvj0Jr1RN9XRSvszySXi6CEkNjuzvO8lhCph8wN6OJ2cyhr51k6r3+7hypR+GoH3Z5ldJhJ9K0hvy0G04YohIUBteXwRlYhp/1rGXcxh9ZO6NALR/ENy9Ac73iK1vps+JLPZzrX7FEIHuyrPFfqFLczbSSGX9WAWQg2h4hgX5ZrTgu+szhqhJwjYmHX4eQUXeC1/hu5/VMN4jEMiA/71A2U6Y96OGPZ2UzpvFpUzHLpP9OFlAVQ48QQ4FxQbbbL+JkWnUbPnd3kXnE72xHn2JWffJKzkBFIwr5XLQaQuptOE8Ng/4DN1FUH5amq2nTkwd96B+MH13Vw==","","0","2022-04-17","13:20:58",""
"2022-04-17","10:21:04","Horário Padrão de Brasília","QR Code","35220412305443000170590010464820003921092317|20220412183920|3.43||0BxWfXdO3PcigPxI1b58JAL3YeOIO/lxhDQuhnIWm2ZkEATdgKAXicX3Dzb9LZlJyQ2pM+K+L40CDP3wcGyvKGlQdnt7RM7oPvFr3ZcMk30CllXRsHHKCeyIoh+D+f1T8j8EtQXYJPU2n2fhYv9RsN0Pi5a+7snTdLCk/LcxVhiCMqCk0byKY398oNUGLlbcI9gtKiYyPzYiQrxY7VTX0Antc6A6mdzyUv2oCMzUrbaYFsqkt0i5l9dAL8CHVbKaAQCUK3iVrojspFwt/WJI1BT2xHoZ+NrsDH+AE2WNB4VRiCMQ3x+6f2KNdikyQGTO4lrMwRYGjgjFIDabMTs22A==","","0","2022-04-17","13:21:04",""
"2022-04-17","10:21:08","Horário Padrão de Brasília","QR Code","35220412305443000170590007472970115958494793|20220410104358|4.19||2GT0qJ+C9JnPMXfeqe5ZIaf6lb6S01Y8/BR9Gu4D538nciIV0TVCJZVQqu1YLv6VHGtNHxIdyJ0Er1HcwDGncPHH89wVBGTLBV6dV/CFaZvtMuCHVJrRp0vmx35XH/wCWHxu3ZwrrCPFIep4l0WjmEyCE4DlERG2iNGKTa0dstxUSqlD6Z4ej5jAWBmHf1i24zZEMxRXuFNTXWTLEhz2ql1wqSPwiose1SchtryuZC0JM6vkx3qFHudFR5Ry9hwMGNL0nrCWrQCN4x/nk+LBElD0p3w2xtzYhAph2Vx2Ecnr7uUze0uBtSjpFG7H7HfaqjXuf9AldKzi9nuAOYwpAA==","","0","2022-04-17","13:21:08",""
"2022-04-17","10:21:12","Horário Padrão de Brasília","QR Code","35220412305443000170590007472970115859735610|20220410102642|3.57||aerIqZGRi9T7kqUqH9oISxlKQAaBlmJvVITfuTzmogwf3jpQ2P4qbkKhz1P2ACWenGcL5mlsdyqpLnhmdR/KXtkDm1i8bcSF2YOp7nJulsSVqp9+EbH3CLMdskrmMkcWooo1r8U+XeaMsuIpGKO4eOjSwaPeO2yZSDHgUdxhGmty2nELhWRbIn1j9tC0HYy0xt2t6UwSFb+NyKimLjE8n/4TtmdbMqAhUcfAE10EiL5j2Yoc6j1bX7mweuccXqwXUoK5ywP3yfKRIkYwol9eeRebeXoPpjQgnJCvT3eGZTtw2kp1yk9xYNcDmYkjhCsiIWdkJpm5lESZYaQ1OOXWmQ==","","0","2022-04-17","13:21:12","{""ec"":""L""}"
"2022-04-17","10:21:15","Horário Padrão de Brasília","QR Code","35220412305443000170590007472970115772967713|20220410101446|12.26||APV+15ByYxznomnsByGJQ+ambrs6UjlWcCSkvnxJcv9wbg/2mB+fhqiq0S/VA4o7nwCsR4Y8kpgbEU8TFPGjHgmv/OcMMWo/QxfrdU31xROmSeqwis3ZEq3O98uHmWtkxsp8KeuCe3OrTVxChy60zjytVDRLAt/b3lKDDRHWnkkivMnSntaZDdKXeJbFrRFQ/0KfA1dBCPhPe58tT0rIejCaCVz7IwP3HFXedOkl0p5gnuYsnAiWjztR+jR/N2olQklhtdIAOzyjcsaMqEgcDIpyf+9W7Koh7+q5tOwRxpUyYu+34R8DOZYWuWzgDhx2qlMSaJ2ftAzwDTZfSr8kRA==","","0","2022-04-17","13:21:15","{""ec"":""L""}"
"2022-04-17","10:21:24","Horário Padrão de Brasília","QR Code","35220412305443000170590007472970115526903933|20220410093021|5.99||C7mlfPYh+ZVrwjJ90C8lJztz0R1MovtsezT+ZqBfFZ5m0zML6PBl9NIlbCBsPhaNDrHb/c1PmO0eX2LVBwggNyVjPR9L3oFPJbT0v5uK0zK2cZiZc+Wm1NRCexTMTRuE6rCu+7pCBCo8cZrqIEaZzOXzfJKN/EeaVMI1cgUL6ttwA1gxEXY4PdMOYsJn9mxsSY1JkzGT6W6KLKaobz/+LEBNyUrrJA0YGjRjRcjUlDnf8zXz6z5yFcK8jif8qIgPV9EBnbrzvt1/hRPlHJipDQUIzLGG4ni+EhQuhjdXZSsczjRYatTLb0q4yulcY3rcTL+0FvzsRfecXPeefQOwgw==","","0","2022-04-17","13:21:24","{""ec"":""L""}"
"2022-04-17","10:21:28","Horário Padrão de Brasília","QR Code","35220412305443000170590007472970115035078878|20220409185130|9.49||hU2K8Cso6qUkiMspkhdo+PlIFmHsagMgFzaZMXxc0KRnFwHealrkznu/fbYVx9SzBp4YnDKCRAhJBU9nV2BRp3nckA8xM4QzdBQhO7bgujAabl1UbLc90VOu19ki7zx81ZOnuGCj8sj+Rg+P7duYX7w02pe+ewOh438H05dAwCYq0wiG1j51WR+SDSRxVu0eo7+/+XHM1wb+4bok9mZ5kvjib4QRhx2O4tlRwBf1bGsy+5sp8HJ4ebP218Fm7yzmLy9QR9qdeBmtWvu5xHIJT0xrS7I/HVBrcKwwd1nZoWdk5FFgU/S6ZS/NRK6KhoSIxsWNGGOEziJj9UsuoiULEw==","","0","2022-04-17","13:21:28",""
"2022-04-17","10:21:32","Horário Padrão de Brasília","QR Code","35220412305443000170590007472970115049901555|20220409185306|51.18||pbBwsylvpJ+rax5uAonXGbdNp+jMKdhPFhVicRkkvmhm1wj9L0uGXdpBKm9DkWyvkScMSuvXCGtkUhpqCasxFgndSnbI879mZQQKLZxLQaFfBvnQBgYSdBVjcEi79cds1SM25RFYgiYBUmPwpNHy+fucc+mbqImMv0gMrWMJUVFNiEv8w2ZNX4wdQ3By4VZTJc2gxa3FNk8osH+ivqP5qoruz29B1yb8r81JL9Jq0pJ8vxBkllzQX/7A5OodetNQ1qhNC4bCwU6bunjfZVlFSsDie/KixObwnaIU51TIIjqiwRYehJulDEMpeMRxr6RPZ/9x31Tqn0fo6ybtDAJMLg==","","0","2022-04-17","13:21:32","{""ec"":""L""}"
